Wed Jan 13 17:03:22 2021 [R] : 0.44981440562297365, [LC] : 0, [DC] : -18.534831800977585
Wed Jan 13 17:03:22 2021 [R] : 0.5284679843790928, [LC] : 0, [DC] : -0.1963145798133914
Wed Jan 13 17:03:22 2021 [R] : 0.5288396252501728, [LC] : 0, [DC] : -0.31061915836709497
Wed Jan 13 17:03:22 2021 [R] : 0.5094185713229041, [LC] : 0, [DC] : -3.8387889375413007
Wed Jan 13 17:03:25 2021 [R] : 0.4267555247495269, [LC] : 0, [DC] : -37.28210937388247
Wed Jan 13 17:03:25 2021 [R] : 0.5050350136028492, [LC] : 0, [DC] : -0.20480172971323984
Wed Jan 13 17:03:26 2021 [R] : 0.5317885926182693, [LC] : 0, [DC] : -0.14631197867439627
Wed Jan 13 17:03:26 2021 [R] : 0.5153626072146493, [LC] : 0, [DC] : -3.7169691725334006
Wed Jan 13 17:03:26 2021 [R] : 0.4205403672834879, [LC] : 0, [DC] : -29.09360489110578
Wed Jan 13 17:03:26 2021 [R] : 0.5067064606160866, [LC] : 0, [DC] : -2.4984113133708252
Wed Jan 13 17:03:26 2021 [R] : 0.4782122523302066, [LC] : 0, [DC] : -12.675222133429425
Wed Jan 13 17:03:27 2021 [R] : 0.5140867190046517, [LC] : 0, [DC] : -2.7557370288650764
Wed Jan 13 17:03:27 2021 [R] : 0.520992950738773, [LC] : 0, [DC] : -2.358860660644759
Wed Jan 13 17:03:27 2021 [R] : 0.5278554374536911, [LC] : 0, [DC] : -0.7956890635474587
Wed Jan 13 17:03:27 2021 [R] : 0.5164102074432962, [LC] : 0, [DC] : -3.319194405667198
Wed Jan 13 17:03:27 2021 [R] : 0.5220387866251814, [LC] : 0, [DC] : -2.71239249542361
Wed Jan 13 17:03:35 2021 [R] : 0.5300235402239456, [LC] : 0, [DC] : -0.2764137600034924
Wed Jan 13 17:03:35 2021 [R] : 0.5076284022916829, [LC] : 0, [DC] : -5.433050503551267
Wed Jan 13 17:03:44 2021 [R] : 0.431466924672282, [LC] : 0, [DC] : -32.434893582123735
Wed Jan 13 17:03:55 2021 [R] : 0.5255811588397118, [LC] : 0, [DC] : -0.5994128104841274
Wed Jan 13 17:03:55 2021 [R] : 0.5092575073940462, [LC] : 0, [DC] : -4.692713360984554
Wed Jan 13 17:03:55 2021 [R] : 0.4273901467729947, [LC] : 0, [DC] : -10067.206466035295
Wed Jan 13 17:03:55 2021 [R] : 0.49116533817057745, [LC] : 0, [DC] : -7.888601423204818
Wed Jan 13 17:03:56 2021 [R] : 0.5262220980954325, [LC] : 0, [DC] : -1.169821885704076
Wed Jan 13 17:04:03 2021 [R] : 0.5302920995869428, [LC] : 0, [DC] : -0.2562521255649557
Wed Jan 13 17:04:04 2021 [R] : 0.5169185198746434, [LC] : 0, [DC] : -3.1811014758021656
Wed Jan 13 17:04:04 2021 [R] : 0.5067690644077176, [LC] : 0, [DC] : -5.711379921896529
Wed Jan 13 17:04:04 2021 [R] : 0.5125353627122311, [LC] : 0, [DC] : -3.9016639303381737
Wed Jan 13 17:04:04 2021 [R] : 0.5181580220241847, [LC] : 0, [DC] : -3.609131842119548
Wed Jan 13 17:04:05 2021 [R] : 0.5308039109112738, [LC] : 0, [DC] : -0.3201568865272919
Wed Jan 13 17:04:05 2021 [R] : 0.5295996122030044, [LC] : 0, [DC] : -0.47339652351934824
Wed Jan 13 17:04:06 2021 [R] : 0.5260453876724941, [LC] : 0, [DC] : -1.6984346868119125
Wed Jan 13 17:04:08 2021 [R] : 0.500869323137809, [LC] : 0, [DC] : -6.0320838898606635
Wed Jan 13 17:04:09 2021 [R] : 0.48620389333071934, [LC] : 0, [DC] : -10.197501547064908
Wed Jan 13 17:04:16 2021 [R] : 0.5220233703767064, [LC] : 0, [DC] : -2.365784556098732
Wed Jan 13 17:04:16 2021 [R] : 0.49686875485278287, [LC] : 0, [DC] : -8.842651367653305
Wed Jan 13 17:04:16 2021 [R] : 0.5321755932115055, [LC] : 0, [DC] : -0.05794669490187743
Wed Jan 13 17:04:17 2021 [R] : 0.5297030473040313, [LC] : 0, [DC] : -0.5665728314037697
Wed Jan 13 17:04:18 2021 [R] : 0.5071236991410754, [LC] : 0, [DC] : -4.5845632728520656
Wed Jan 13 17:04:18 2021 [R] : 0.5231000539706435, [LC] : 0, [DC] : -2.0036369138683616
Wed Jan 13 17:04:19 2021 [R] : 0.5319550344184968, [LC] : 0, [DC] : -0.1098265450777296
Wed Jan 13 17:04:19 2021 [R] : 0.5306268668954672, [LC] : 0, [DC] : -0.4864871916265503
Wed Jan 13 17:04:20 2021 [R] : 0.5095695229632419, [LC] : 0, [DC] : -5.754871382355866
Wed Jan 13 17:04:31 2021 [R] : 0.524588984043771, [LC] : 0, [DC] : -1.8614393846877721
Wed Jan 13 17:04:31 2021 [R] : 0.5283960512341486, [LC] : 0, [DC] : -1.0089153445413026
Wed Jan 13 17:04:31 2021 [R] : 0.5184278332743031, [LC] : 0, [DC] : -2.2304092605440893
Wed Jan 13 17:04:31 2021 [R] : 0.47890095192871485, [LC] : 0, [DC] : -11.305588124780883
Wed Jan 13 17:04:31 2021 [R] : 0.5194509412289812, [LC] : 0, [DC] : -1.9562144261840921
Wed Jan 13 17:04:32 2021 [R] : 0.5153870965262662, [LC] : 0, [DC] : -4.647564155073986
Wed Jan 13 17:04:46 2021 [R] : 0.5155133758645961, [LC] : 0, [DC] : -4.176692048275466
Wed Jan 13 17:04:46 2021 [R] : 0.49031535537122356, [LC] : 0, [DC] : -10.176374347168858
Wed Jan 13 17:04:47 2021 [R] : 0.5281960022362207, [LC] : 0, [DC] : -0.40934605330084595
Wed Jan 13 17:04:47 2021 [R] : 0.5262098381224308, [LC] : 0, [DC] : -0.4516121432168174
Wed Jan 13 17:04:48 2021 [R] : 0.5024748260901427, [LC] : 0, [DC] : -7.234322545883799
Wed Jan 13 17:04:48 2021 [R] : 0.49853395515657356, [LC] : 0, [DC] : -8.613444552092258
Wed Jan 13 17:04:48 2021 [R] : 0.5283519617217872, [LC] : 0, [DC] : -0.490177287882994
Wed Jan 13 17:04:48 2021 [R] : 0.521044168497714, [LC] : 0, [DC] : -2.3883736042571146
Wed Jan 13 17:04:48 2021 [R] : 0.5109772673889218, [LC] : 0, [DC] : -4.835819105143802
Wed Jan 13 17:04:53 2021 [R] : 0.5227794418912077, [LC] : 0, [DC] : -2.3079795251265183
Wed Jan 13 17:04:59 2021 [R] : 0.5272925440309554, [LC] : 0, [DC] : -1.02789913895188
Wed Jan 13 17:04:59 2021 [R] : 0.5244128948795758, [LC] : 0, [DC] : -1.7477489221064215
Wed Jan 13 17:05:00 2021 [R] : 0.5232832018917042, [LC] : 0, [DC] : -0.019813298013755976
Wed Jan 13 17:05:00 2021 [R] : 0.42743298475653835, [LC] : 0, [DC] : -249.80943155043263
Wed Jan 13 17:05:00 2021 [R] : 0.5181461027965497, [LC] : 0, [DC] : -1.6866585717992688
Wed Jan 13 17:05:01 2021 [R] : 0.46385855776672413, [LC] : 0, [DC] : -14.59125943049369
Wed Jan 13 17:05:08 2021 [R] : 0.4441973702254817, [LC] : 0, [DC] : -20.467984420207486
Wed Jan 13 17:05:08 2021 [R] : 0.5035269075196008, [LC] : 0, [DC] : -5.733879613210671
Wed Jan 13 17:05:08 2021 [R] : 0.5230457994440136, [LC] : 0, [DC] : -2.1979144923876257
Wed Jan 13 17:05:09 2021 [R] : 0.5138268331116698, [LC] : 0, [DC] : -4.423292311367487
Wed Jan 13 17:05:10 2021 [R] : 0.5314050590616181, [LC] : 0, [DC] : -0.2899510907570264
Wed Jan 13 17:05:10 2021 [R] : 0.5323302059244743, [LC] : 0, [DC] : -0.09124752602769326
Wed Jan 13 17:05:11 2021 [R] : 0.5309819816483912, [LC] : 0, [DC] : -0.1510377723870111
Wed Jan 13 17:05:13 2021 [R] : 0.5326959905106894, [LC] : 0, [DC] : -0.1675894563326621
Wed Jan 13 17:05:13 2021 [R] : 0.42992753369546205, [LC] : 0, [DC] : -62.820986728336194
Wed Jan 13 17:05:14 2021 [R] : 0.5303896725930468, [LC] : 0, [DC] : -0.14656932948412216
Wed Jan 13 17:05:14 2021 [R] : 0.5289658989918846, [LC] : 0, [DC] : -0.9659802311798638
Wed Jan 13 17:05:14 2021 [R] : 0.5278475587329172, [LC] : 0, [DC] : -0.5942125751701206
Wed Jan 13 17:05:15 2021 [R] : 0.4657602403091454, [LC] : 0, [DC] : -16.268105313848903
Wed Jan 13 17:05:21 2021 [R] : 0.509906403761529, [LC] : 0, [DC] : -5.544387071627336
Wed Jan 13 17:05:21 2021 [R] : 0.5200133006454498, [LC] : 0, [DC] : -2.836337936613666
Wed Jan 13 17:05:21 2021 [R] : 0.5063393887667974, [LC] : 0, [DC] : -6.36980738104027
Wed Jan 13 17:05:22 2021 [R] : 0.4281779317962394, [LC] : 0, [DC] : -655.7069965052523
Wed Jan 13 17:05:22 2021 [R] : 0.527094469594281, [LC] : 0, [DC] : -0.6803764055224395
Wed Jan 13 17:05:31 2021 [R] : 0.52968092783653, [LC] : 0, [DC] : -0.09254203415954043
Wed Jan 13 17:05:31 2021 [R] : 0.5179113860039033, [LC] : 0, [DC] : -3.5113852027170083
Wed Jan 13 17:05:31 2021 [R] : 0.5190279895130193, [LC] : 0, [DC] : -2.993868230102885
Wed Jan 13 17:05:31 2021 [R] : 0.5272182984208279, [LC] : 0, [DC] : -0.023861492447792898
Wed Jan 13 17:05:32 2021 [R] : 0.42989148365077695, [LC] : 0, [DC] : -1221.460932877244
Wed Jan 13 17:05:32 2021 [R] : 0.5011215896380388, [LC] : 0, [DC] : -4.250708433999445
Wed Jan 13 17:05:32 2021 [R] : 0.5075697986307064, [LC] : 0, [DC] : -4.946102488048177
Wed Jan 13 17:05:32 2021 [R] : 0.42757876200292433, [LC] : 0, [DC] : -167.01401321414124
Wed Jan 13 17:05:32 2021 [R] : 0.41004078410362305, [LC] : 0, [DC] : -319.90758796519236
Wed Jan 13 17:05:39 2021 [R] : 0.5278533988958962, [LC] : 0, [DC] : -1.0451831788302979
Wed Jan 13 17:05:40 2021 [R] : 0.43082429042240244, [LC] : 0, [DC] : -33.17750827153986
Wed Jan 13 17:05:40 2021 [R] : 0.5029144786148572, [LC] : 0, [DC] : -5.248714097802868
Wed Jan 13 17:05:40 2021 [R] : 0.5023859448089185, [LC] : 0, [DC] : -6.2584824972080435
Wed Jan 13 17:05:42 2021 [R] : 0.5080388796886554, [LC] : 0, [DC] : -3.298543596196838
Wed Jan 13 17:05:43 2021 [R] : 0.5066063989975711, [LC] : 0, [DC] : -1.5403397301547734
Wed Jan 13 17:05:43 2021 [R] : 0.4252058457037356, [LC] : 0, [DC] : -68.4033291131531
Wed Jan 13 17:05:43 2021 [R] : 0.4428239405982098, [LC] : 0, [DC] : -22.264047441880184
Wed Jan 13 17:05:43 2021 [R] : 0.5140363225991044, [LC] : 0, [DC] : -3.0253876558773616
Wed Jan 13 17:05:44 2021 [R] : 0.4280539977245447, [LC] : 0, [DC] : -1336.7797299613326
Wed Jan 13 17:05:44 2021 [R] : 0.5273241680846984, [LC] : 0, [DC] : -0.2328496711120034
Wed Jan 13 17:05:45 2021 [R] : 0.532471813240475, [LC] : 0, [DC] : -0.1382598920828153
Wed Jan 13 17:05:45 2021 [R] : 0.5230291989987046, [LC] : 0, [DC] : -0.8186862718873655
Wed Jan 13 17:05:45 2021 [R] : 0.5245919924179542, [LC] : 0, [DC] : -1.4701904913353796
Wed Jan 13 17:05:45 2021 [R] : 0.488641630574264, [LC] : 0, [DC] : -9.334634341819282
Wed Jan 13 17:05:46 2021 [R] : 0.4918840106835305, [LC] : 0, [DC] : -9.047633059981957
Wed Jan 13 17:05:46 2021 [R] : 0.46458228799162554, [LC] : 0, [DC] : -16.017611635974554
Wed Jan 13 17:05:46 2021 [R] : 0.5054444698163802, [LC] : 0, [DC] : -5.646212633593528
Wed Jan 13 17:05:46 2021 [R] : 0.5294947104780645, [LC] : 0, [DC] : -0.3044336492673232
Wed Jan 13 17:05:57 2021 [R] : 0.5242939450530987, [LC] : 0, [DC] : -1.7858282122011415
Wed Jan 13 17:05:57 2021 [R] : 0.5028415750243386, [LC] : 0, [DC] : -7.200460528029362
Wed Jan 13 17:05:57 2021 [R] : 0.5069166283390121, [LC] : 0, [DC] : -5.516569083155048
Wed Jan 13 17:05:58 2021 [R] : 0.5281905169099818, [LC] : 0, [DC] : -1.1918080533890767
Wed Jan 13 17:05:58 2021 [R] : 0.5281190897671347, [LC] : 0, [DC] : -0.41499379004647086
Wed Jan 13 17:05:58 2021 [R] : 0.5303723565780047, [LC] : 0, [DC] : -0.1332127936402021
Wed Jan 13 17:05:58 2021 [R] : 0.5281417421024155, [LC] : 0, [DC] : -0.6830244404114252
Wed Jan 13 17:06:13 2021 [R] : 0.4273121185462165, [LC] : 0, [DC] : -0.02856034650981143
Wed Jan 13 17:06:19 2021 [R] : 0.5301300767384496, [LC] : 0, [DC] : -0.4573255238670524
Wed Jan 13 17:06:19 2021 [R] : 0.5203761724152538, [LC] : 0, [DC] : -2.939373335142186
Wed Jan 13 17:06:19 2021 [R] : 0.5285555005532926, [LC] : 0, [DC] : -0.5367060922858853
Wed Jan 13 17:06:20 2021 [R] : 0.5298137077022799, [LC] : 0, [DC] : -0.9450669751683174
Wed Jan 13 17:06:20 2021 [R] : 0.500699911756318, [LC] : 0, [DC] : -7.687638824671213
Wed Jan 13 17:06:20 2021 [R] : 0.44091923787347226, [LC] : 0, [DC] : -20.862924888234097
Wed Jan 13 17:06:21 2021 [R] : 0.5142885150980898, [LC] : 0, [DC] : -3.3833867151397756
Wed Jan 13 17:06:21 2021 [R] : 0.527586665263172, [LC] : 0, [DC] : -0.6111881231340219
Wed Jan 13 17:06:21 2021 [R] : 0.47781857989520077, [LC] : 0, [DC] : -13.258171005311205
Wed Jan 13 17:06:36 2021 [R] : 0.5053439784024808, [LC] : 0, [DC] : -6.866928797319108
Wed Jan 13 17:06:36 2021 [R] : 0.5103266408911729, [LC] : 0, [DC] : -5.4756338653468
Wed Jan 13 17:06:36 2021 [R] : 0.5268818043097298, [LC] : 0, [DC] : -1.197737206237024
Wed Jan 13 17:06:36 2021 [R] : 0.4601086098575088, [LC] : 0, [DC] : -16.835340718187986
Wed Jan 13 17:06:37 2021 [R] : 0.5298379579521287, [LC] : 0, [DC] : -0.16842040814738612
